Tempo,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17
3.329999999999973,64,489,0,528,1,1,0,1,162,72,1,1,9420,2464,-11492,-84,100,-87
3.3399999999999728,81,411,1,528,0,0,1,1,163,82,1,0,9460,2356,-11624,-84,110,-115
3.3499999999999726,79,408,0,520,0,1,1,1,163,82,1,1,9328,2396,-11568,-80,83,-97
3.3599999999999723,55,220,1,391,0,1,0,1,163,65,1,1,9424,2276,-11608,-101,80,-89
3.369999999999972,46,153,1,342,0,1,0,1,162,49,1,0,9516,2332,-11568,-107,102,-114
3.379999999999972,55,243,1,391,1,1,0,2,162,65,1,1,9368,2276,-11584,-109,98,-93
3.3899999999999717,46,160,1,343,0,1,0,1,162,49,1,0,9408,2224,-11656,-83,116,-99
3.3999999999999715,19,109,1,297,0,0,1,1,162,26,1,0,9428,2444,-11660,-94,93,-100
3.4099999999999713,0,90,1,260,0,0,0,1,162,3,1,1,9384,2264,-11548,-112,75,-92
3.419999999999971,0,194,0,292,1,0,0,0,162,0,1,0,9436,2324,-11580,-96,100,-90
3.429999999999971,0,494,0,484,1,0,0,1,162,1,1,1,9448,2500,-11608,-97,108,-109
3.4399999999999706,43,516,1,530,0,1,0,1,162,64,0,1,9548,2316,-11628,-118,93,-98
3.4499999999999704,62,493,1,532,0,0,1,1,162,71,1,0,9212,2368,-11568,-97,96,-83
3.45999999999997,61,301,1,449,0,1,0,2,162,84,0,1,9504,2352,-11656,-97,88,-94
3.46999999999997,46,156,1,345,0,1,0,1,162,50,0,1,9360,2436,-11540,-101,113,-102
3.47999999999997,55,245,1,394,1,1,0,1,162,66,1,1,9368,2244,-11652,-82,107,-104
3.4899999999999696,56,230,0,388,0,0,1,1,162,67,1,1,9408,2324,-11496,-74,92,-92
3.4999999999999694,22,86,1,300,0,2,0,0,162,30,0,1,9468,2432,-11648,-117,116,-77
3.509999999999969,0,74,1,262,0,0,1,1,162,5,1,0,9500,2388,-11516,-106,91,-101
3.519999999999969,0,151,0,279,1,1,0,1,162,0,0,1,9408,2300,-11500,-91,88,-87
3.5299999999999687,0,507,1,480,1,0,0,0,162,0,1,0,9380,2364,-11544,-83,98,-110
3.5399999999999685,61,497,1,529,1,1,0,1,163,70,1,1,9448,2264,-11492,-95,107,-96
3.5499999999999683,79,427,1,533,0,0,1,1,162,81,1,0,9368,2308,-11544,-88,121,-79
3.559999999999968,61,309,2,453,0,1,1,2,162,85,1,0,9424,2416,-11720,-84,112,-100
3.569999999999968,61,308,0,449,0,1,0,1,162,84,1,1,9388,2380,-11476,-102,108,-97
3.5799999999999677,60,309,0,448,0,0,1,1,162,85,1,0,9388,2272,-11572,-96,90,-112
3.5899999999999674,57,236,1,402,0,1,1,1,162,67,1,0,9480,2336,-11536,-85,90,-94
3.5999999999999672,25,93,1,305,0,2,0,1,162,31,0,1,9460,2304,-11540,-66,58,-105
3.609999999999967,0,79,1,262,0,1,0,0,162,0,0,1,9408,2380,-11700,-85,103,-90
3.619999999999967,0,253,0,313,1,0,0,0,162,0,0,1,9480,2344,-11636,-94,98,-102
3.6299999999999666,28,526,1,510,1,0,0,1,162,37,0,1,9432,2296,-11584,-82,116,-102
3.6399999999999664,28,525,0,510,0,0,1,1,162,38,1,0,9436,2316,-11580,-100,110,-104
3.649999999999966,0,460,0,470,1,0,0,0,162,0,0,0,9372,2452,-11564,-85,105,-81
3.659999999999966,58,500,1,531,1,0,0,1,163,68,1,1,9456,2288,-11584,-108,77,-88
3.6699999999999657,78,438,1,534,0,1,1,2,162,80,1,0,9452,2296,-11548,-80,103,-93
3.6799999999999655,62,319,1,466,0,1,1,1,163,85,1,0,9384,2352,-11628,-88,66,-80
3.6899999999999653,50,173,1,357,0,1,0,1,163,54,0,1,9480,2316,-11568,-87,113,-89
3.699999999999965,29,116,1,310,0,1,0,1,162,35,1,0,9388,2360,-11612,-96,77,-103
3.709999999999965,0,81,1,271,0,1,0,1,162,9,1,0,9472,2284,-11612,-99,94,-95
